id_asistencia,id_alumno,fecha,hora,estado,observaciones
14,7,03/03/2026,15:00,Presente,"Cancelo los 200bs, son 1 hora y media las clases y realizamos el texto de matemáticas, con tema de fracciones y descomposición y sumas "
15,7,05/03/2026,15:00,Presente,Tarea de matemáticas 
16,7,10/03/2026,15:00,Presente,Solución de problemas de suma en el libro
17,7,12/03/2026,15:00,Presente,.
18,7,17/03/2026,15:00,Pendiente,Clase programada
19,7,19/03/2026,15:00,Pendiente,Clase programada
20,7,24/03/2026,15:00,Pendiente,Clase programada
21,7,26/03/2026,15:00,Pendiente,Clase programada
22,9,07/03/2026,8:00,Pendiente,realizo el pago miercoles 4 de marzo
23,9,14/03/2026,8:00,Pendiente,Clase 2
24,9,21/03/2026,8:00,Pendiente,Clase 3
25,9,28/03/2026,8:00,Pendiente,Clase 4
26,4,06/03/2026,17:00,Presente,Pago 30bs de 1 clase y falta 10bs de la clases del sábado aprendió productos notables 
27,4,07/03/2026,10:00,Presente,Matemáticas y binomio y trinomio 
28,4,09/03/2026,17:00,Presente,Hoy es examen de binomios y trinomios
29,10,01/04/2026,18:00,Pendiente,Clase programada
30,10,03/04/2026,18:00,Pendiente,Clase programada
31,10,09/03/2026,18:00,Presente,Diferencias las letras mayúsculas y minúsculas y deletreo y dictado 
32,10,12/03/2026,18:00,Presente,Clase programada
33,10,13/03/2026,18:00,Pendiente,Clase programada
34,10,16/03/2026,18:00,Pendiente,Clase programada
35,10,18/03/2026,18:00,Pendiente,Clase programada
36,10,20/03/2026,18:00,Pendiente,Clase programada
37,10,23/03/2026,18:00,Pendiente,Clase programada
38,10,25/03/2026,18:00,Pendiente,Clase programada
39,10,27/03/2026,18:00,Pendiente,Clase programada
40,10,30/03/2026,18:00,Pendiente,Clase programada
41,11,09/03/2026,14:00,Presente,Clases con Alexandra ecuaciones de la recta pago 50bs de 200bs le falta 150bs
42,11,12/03/2026,14:00,Presente,Clase programada
43,11,14/03/2026,14:00,Pendiente,Clase programada
44,11,16/03/2026,14:00,Pendiente,Clase programada
45,11,19/03/2026,14:00,Pendiente,Clase programada
46,11,21/03/2026,14:00,Pendiente,Clase programada
47,11,23/03/2026,14:00,Pendiente,Clase programada
48,11,26/03/2026,14:00,Pendiente,Clase programada
49,11,28/03/2026,14:00,Pendiente,Clase programada
50,11,30/03/2026,14:00,Pendiente,Clase programada
51,12,03/04/2026,15:00,Pendiente,Clase programada
52,12,10/03/2026,15:00,Presente,Física tema de electricidad 
53,12,11/03/2026,15:00,Presente,Clase programada
54,12,13/03/2026,15:00,Pendiente,Clase programada
55,12,16/03/2026,15:00,Pendiente,Clase programada
56,12,17/03/2026,15:00,Pendiente,Clase programada
57,12,20/03/2026,15:00,Pendiente,Clase programada
58,12,23/03/2026,15:00,Pendiente,Clase programada
59,12,24/03/2026,15:00,Pendiente,Clase programada
60,12,27/03/2026,15:00,Pendiente,Clase programada
61,12,30/03/2026,15:00,Pendiente,Clase programada
62,12,31/03/2026,15:00,Pendiente,Clase programada
63,4,11/03/2026,17:00,Pendiente,Clase programada
64,4,12/03/2026,17:00,Pendiente,Clase programada
65,4,17/03/2026,17:00,Pendiente,Clase programada
66,4,18/03/2026,17:00,Pendiente,Clase programada
67,4,19/03/2026,15:00,Pendiente,Clase programada
68,4,24/03/2026,15:00,Pendiente,Clase programada
69,4,25/03/2026,15:00,Pendiente,Clase programada
70,4,26/03/2026,15:00,Pendiente,Clase programada
71,4,31/03/2026,15:00,Pendiente,Clase programada
