id,materia,nivel,grado,titulo,descripcion,url_recurso,imagen_url
1,Matemáticas,Primaria,3,Aritmetica de Conamat,El libro de ayuda de ejercicios de nivel de Aritmetica,https://isfd160-bue.infd.edu.ar/sitio/upload/Aritmetica-CONAMAT.pdf,https://kioskoconamat.com/wp-content/uploads/2021/11/ART.png
2,Matemáticas,Secundaria,3,Algebra De Conamat,Texto de álgebra basica,https://recuperacionmate2017.wordpress.com/wp-content/uploads/2017/10/algebra-conamat.pdf,"https://m.media-amazon.com/images/I/51F1hNw-QdL._AC_UF1000,1000_QL80_.jpg"
3,Matemáticas,,,Algebra Baldor,Libro tradicional de Baldor ,https://profefily.com/wp-content/uploads/2019/10/Algebra-Baldor.pdf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmd3Fp1UxxSXSlP7Agdz61ubHmpaOOmuAqJhb3Z0RS89Y7jtPnnE-ldEM&s=10
4,Programación,,,Manual de C++,Libro concepto básico y ejercicio de c++,https://elhacker.info/manuales/Lenguajes%20de%20Programacion/C++/manualC++Public.pdf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQMoBnF9egZ9rrZ6jQSiAM2IGusLYIeqDuwzjL7JOWdb7VKIm1Z7H3I1Rv&s=10
5,Física,,,Fundamentos de Fisica,"Libro de Física Autor: Serway Vuille, Tomo: 1",http://www0.unsl.edu.ar/~cornette/FISICA/Fundamentos%20de%20f%C3%ADsica%20-%20Volumen%201%20-%20Serway%20&%20Vuille%20-%209ed.pdf,https://cengagelatam.editorialdc.com/wp-content/uploads/2024/08/9786074817805.jpg
6,Mixto,Primaria,1,1ro de Primaria,Texto del ministerio del 2025 de nivel primaria,https://drive.google.com/file/d/1li4PuyS6NWwGhvKYVCqmna5s7-b0jT4v/view,https://librosdelminedu.com/wp-content/uploads/2025/01/Texto-de-Aprendizaje-1ro-de-primaria-202.jpg
7,Robotica,Primaria,1,Robotica,Texto del ministerio del 2025,https://drive.google.com/file/d/1RRQ8g4imfsOdrPfjGtD4mYrmq15V1NRi/view,https://librosdelminedu.com/wp-content/uploads/2023/02/2do-ano-de-escolaridad-Robotica2024.webp
8,Computacion e Informatica,Primaria,1,Computación e Informatica,Texto del ministerio del 2025,https://drive.google.com/file/d/11FmJoOyV1d86Bm2Kwyb9vs8dHkP71UL5/view,https://librosdelminedu.com/wp-content/uploads/2023/02/Libro-de-Computacion-e-Informatica.webp
9,Mixto,Primaria,2,Texto de Aprendizaje,Texto del ministerio del 2025,https://drive.google.com/file/d/1tv4HtY4dOhCjWrEBgexbISpTnUp4FVrj/view,https://librosdelminedu.com/wp-content/uploads/2025/01/Texto-de-Aprendizaje-2do-de-primaria-2025.jpg
10,Computacion e Informatica,Primaria,2,Computación e Informatica,Texto del ministerio del 2025,https://drive.google.com/file/d/1bEPZLG2zEUrBM8tsy8Ru16psKqNs-MLD/view,https://librosdelminedu.com/wp-content/uploads/2023/02/Libro-de-Computacion-e-Informatica.webp
